freeCharge_average,Points:0,Points:1,Points:2
0.00016526,0.001,-4.46e-05,3.35e-05
0.000167403,0.001,-4.44e-05,3.35e-05
0.000169545,0.001,-4.42e-05,3.35e-05
0.000171687,0.001,-4.4e-05,3.35e-05
0.000173829,0.001,-4.38e-05,3.35e-05
0.000175972,0.001,-4.36e-05,3.35e-05
0.000178114,0.001,-4.34e-05,3.35e-05
0.000180256,0.001,-4.32e-05,3.35e-05
0.000182399,0.001,-4.3e-05,3.35e-05
0.000184541,0.001,-4.28e-05,3.35e-05
0.000186683,0.001,-4.26e-05,3.35e-05
0.000188825,0.001,-4.24e-05,3.35e-05
0.000190968,0.001,-4.22e-05,3.35e-05
0.00019311,0.001,-4.2e-05,3.35e-05
0.000195252,0.001,-4.18e-05,3.35e-05
0.000197394,0.001,-4.16e-05,3.35e-05
0.000199537,0.001,-4.14e-05,3.35e-05
0.000201679,0.001,-4.12e-05,3.35e-05
0.000203821,0.001,-4.1e-05,3.35e-05
0.000205963,0.001,-4.08e-05,3.35e-05
0.000208106,0.001,-4.06e-05,3.35e-05
0.000210248,0.001,-4.04e-05,3.35e-05
0.00021239,0.001,-4.02e-05,3.35e-05
0.000214533,0.001,-4e-05,3.35e-05
0.000216675,0.001,-3.98e-05,3.35e-05
0.000218817,0.001,-3.96e-05,3.35e-05
0.000220959,0.001,-3.94e-05,3.35e-05
0.000223167,0.001,-3.92e-05,3.35e-05
0.000225958,0.001,-3.9e-05,3.35e-05
0.000228748,0.001,-3.88e-05,3.35e-05
0.000231538,0.001,-3.86e-05,3.35e-05
0.000234328,0.001,-3.84e-05,3.35e-05
0.000237119,0.001,-3.82e-05,3.35e-05
0.000239909,0.001,-3.8e-05,3.35e-05
0.000242699,0.001,-3.78e-05,3.35e-05
0.000245489,0.001,-3.76e-05,3.35e-05
0.00024828,0.001,-3.74e-05,3.35e-05
0.00025107,0.001,-3.72e-05,3.35e-05
0.00025386,0.001,-3.7e-05,3.35e-05
0.00025665,0.001,-3.68e-05,3.35e-05
0.000259441,0.001,-3.66e-05,3.35e-05
0.000262231,0.001,-3.64e-05,3.35e-05
0.000265021,0.001,-3.62e-05,3.35e-05
0.000267812,0.001,-3.6e-05,3.35e-05
0.000270602,0.001,-3.58e-05,3.35e-05
0.000273392,0.001,-3.56e-05,3.35e-05
0.000276182,0.001,-3.54e-05,3.35e-05
0.000278973,0.001,-3.52e-05,3.35e-05
0.000281763,0.001,-3.5e-05,3.35e-05
0.000284553,0.001,-3.48e-05,3.35e-05
0.000287343,0.001,-3.46e-05,3.35e-05
0.000290134,0.001,-3.44e-05,3.35e-05
0.000292924,0.001,-3.42e-05,3.35e-05
0.000295714,0.001,-3.4e-05,3.35e-05
0.000298505,0.001,-3.38e-05,3.35e-05
0.000301295,0.001,-3.36e-05,3.35e-05
0.000304085,0.001,-3.34e-05,3.35e-05
0.000306875,0.001,-3.32e-05,3.35e-05
0.000309666,0.001,-3.3e-05,3.35e-05
0.000312456,0.001,-3.28e-05,3.35e-05
0.000315246,0.001,-3.26e-05,3.35e-05
0.000318036,0.001,-3.24e-05,3.35e-05
0.000320827,0.001,-3.22e-05,3.35e-05
0.000323617,0.001,-3.2e-05,3.35e-05
0.000326407,0.001,-3.18e-05,3.35e-05
0.000329198,0.001,-3.16e-05,3.35e-05
0.000331988,0.001,-3.14e-05,3.35e-05
0.000334778,0.001,-3.12e-05,3.35e-05
0.000337859,0.001,-3.1e-05,3.35e-05
0.000341005,0.001,-3.08e-05,3.35e-05
0.000344151,0.001,-3.06e-05,3.35e-05
0.000347298,0.001,-3.04e-05,3.35e-05
0.000350444,0.001,-3.02e-05,3.35e-05
0.00035359,0.001,-3e-05,3.35e-05
0.000356736,0.001,-2.98e-05,3.35e-05
0.000359883,0.001,-2.96e-05,3.35e-05
0.000363029,0.001,-2.94e-05,3.35e-05
0.000366175,0.001,-2.92e-05,3.35e-05
0.000369321,0.001,-2.9e-05,3.35e-05
0.000372468,0.001,-2.88e-05,3.35e-05
0.000375614,0.001,-2.86e-05,3.35e-05
0.00037876,0.001,-2.84e-05,3.35e-05
0.000381907,0.001,-2.82e-05,3.35e-05
0.000385053,0.001,-2.8e-05,3.35e-05
0.000388199,0.001,-2.78e-05,3.35e-05
0.000391345,0.001,-2.76e-05,3.35e-05
0.000394492,0.001,-2.74e-05,3.35e-05
0.000397638,0.001,-2.72e-05,3.35e-05
0.000400784,0.001,-2.7e-05,3.35e-05
0.00040393,0.001,-2.68e-05,3.35e-05
0.000407077,0.001,-2.66e-05,3.35e-05
0.000410223,0.001,-2.64e-05,3.35e-05
0.000413369,0.001,-2.62e-05,3.35e-05
0.000416515,0.001,-2.6e-05,3.35e-05
0.000419662,0.001,-2.58e-05,3.35e-05
0.000422808,0.001,-2.56e-05,3.35e-05
0.000425954,0.001,-2.54e-05,3.35e-05
0.0004291,0.001,-2.52e-05,3.35e-05
0.000432247,0.001,-2.5e-05,3.35e-05
0.000435393,0.001,-2.48e-05,3.35e-05
0.000438539,0.001,-2.46e-05,3.35e-05
0.000441685,0.001,-2.44e-05,3.35e-05
0.000444832,0.001,-2.42e-05,3.35e-05
0.000447978,0.001,-2.4e-05,3.35e-05
0.000451124,0.001,-2.38e-05,3.35e-05
0.000454271,0.001,-2.36e-05,3.35e-05
0.000457417,0.001,-2.34e-05,3.35e-05
0.000460563,0.001,-2.32e-05,3.35e-05
0.000463709,0.001,-2.3e-05,3.35e-05
0.000466856,0.001,-2.28e-05,3.35e-05
0.000470002,0.001,-2.26e-05,3.35e-05
0.000473148,0.001,-2.24e-05,3.35e-05
0.000476294,0.001,-2.22e-05,3.35e-05
0.000479333,0.001,-2.2e-05,3.35e-05
0.000481915,0.001,-2.18e-05,3.35e-05
0.000484498,0.001,-2.16e-05,3.35e-05
0.000487081,0.001,-2.14e-05,3.35e-05
0.000489664,0.001,-2.12e-05,3.35e-05
0.000492247,0.001,-2.1e-05,3.35e-05
0.00049483,0.001,-2.08e-05,3.35e-05
0.000497413,0.001,-2.06e-05,3.35e-05
0.000499995,0.001,-2.04e-05,3.35e-05
0.000502578,0.001,-2.02e-05,3.35e-05
0.000505161,0.001,-2e-05,3.35e-05
0.000507744,0.001,-1.98e-05,3.35e-05
0.000510327,0.001,-1.96e-05,3.35e-05
0.00051291,0.001,-1.94e-05,3.35e-05
0.000515493,0.001,-1.92e-05,3.35e-05
0.000518076,0.001,-1.9e-05,3.35e-05
0.000520658,0.001,-1.88e-05,3.35e-05
0.000523241,0.001,-1.86e-05,3.35e-05
0.000525824,0.001,-1.84e-05,3.35e-05
0.000528407,0.001,-1.82e-05,3.35e-05
0.00053099,0.001,-1.8e-05,3.35e-05
0.000533573,0.001,-1.78e-05,3.35e-05
0.000536156,0.001,-1.76e-05,3.35e-05
0.000538738,0.001,-1.74e-05,3.35e-05
0.000541321,0.001,-1.72e-05,3.35e-05
0.000543904,0.001,-1.7e-05,3.35e-05
0.000546487,0.001,-1.68e-05,3.35e-05
0.00054907,0.001,-1.66e-05,3.35e-05
0.000551653,0.001,-1.64e-05,3.35e-05
0.000554236,0.001,-1.62e-05,3.35e-05
0.000556818,0.001,-1.6e-05,3.35e-05
0.000559401,0.001,-1.58e-05,3.35e-05
0.000561984,0.001,-1.56e-05,3.35e-05
0.000564567,0.001,-1.54e-05,3.35e-05
0.00056715,0.001,-1.52e-05,3.35e-05
0.000569733,0.001,-1.5e-05,3.35e-05
0.000572316,0.001,-1.48e-05,3.35e-05
0.000574898,0.001,-1.46e-05,3.35e-05
0.000577481,0.001,-1.44e-05,3.35e-05
0.000580064,0.001,-1.42e-05,3.35e-05
0.000582647,0.001,-1.4e-05,3.35e-05
0.00058523,0.001,-1.38e-05,3.35e-05
0.000587813,0.001,-1.36e-05,3.35e-05
0.000590396,0.001,-1.34e-05,3.35e-05
0.000592978,0.001,-1.32e-05,3.35e-05
0.000595561,0.001,-1.3e-05,3.35e-05
0.000598144,0.001,-1.28e-05,3.35e-05
0.000600727,0.001,-1.26e-05,3.35e-05
0.00060331,0.001,-1.24e-05,3.35e-05
0.000605893,0.001,-1.22e-05,3.35e-05
0.000608476,0.001,-1.2e-05,3.35e-05
0.000611058,0.001,-1.18e-05,3.35e-05
0.000612174,0.001,-1.16e-05,3.35e-05
0.000611937,0.001,-1.14e-05,3.35e-05
0.0006117,0.001,-1.12e-05,3.35e-05
